Commande n°;Mode de paiement;Total payé réel;Total produits;Total transport;Code pays de livraison
5571;Verifone e-commerce;102.280000;81.500000;4.780000;FR
5571;Verifone e-commerce;102.280000;81.500000;4.780000;FR
5572;Verifone e-commerce;63.370000;48.900000;7.800000;FR
5573;Verifone e-commerce;141.380000;114.200000;4.780000;FR
5573;Verifone e-commerce;141.380000;114.200000;4.780000;FR
5573;Verifone e-commerce;141.380000;114.200000;4.780000;FR
5573;Verifone e-commerce;141.380000;114.200000;4.780000;FR
5573;Verifone e-commerce;141.380000;114.200000;4.780000;FR
5573;Verifone e-commerce;141.380000;114.200000;4.780000;FR
5573;Verifone e-commerce;141.380000;114.200000;4.780000;FR
5573;Verifone e-commerce;141.380000;114.200000;4.780000;FR
5574;Verifone e-commerce;191.980000;156.480000;4.780000;FR
5574;Verifone e-commerce;191.980000;156.480000;4.780000;FR
5574;Verifone e-commerce;191.980000;156.480000;4.780000;FR
5575;Verifone e-commerce;190.430000;155.740000;12.770000;FR
5575;Verifone e-commerce;190.430000;155.740000;12.770000;FR
5576;Verifone e-commerce;24.280000;16.300000;4.780000;FR
5577;Verifone e-commerce;285.000000;285.000000;0.000000;LU
5578;Verifone e-commerce;51.300000;36.300000;15.000000;MQ
5578;Verifone e-commerce;51.300000;36.300000;15.000000;MQ
5579;Verifone e-commerce;143.320000;121.320000;22.000000;RE
5579;Verifone e-commerce;143.320000;121.320000;22.000000;RE
5579;Verifone e-commerce;143.320000;121.320000;22.000000;RE
5580;Verifone e-commerce;93.600000;65.200000;15.600000;GB
5580;Verifone e-commerce;93.600000;65.200000;15.600000;GB
5580;Verifone e-commerce;93.600000;65.200000;15.600000;GB
5580;Verifone e-commerce;93.600000;65.200000;15.600000;GB
5581;Verifone e-commerce;64.920000;50.100000;4.920000;BE
5581;Verifone e-commerce;64.920000;50.100000;4.920000;BE
5582;Verifone e-commerce;119.760000;95.160000;5.730000;BE
5582;Verifone e-commerce;119.760000;95.160000;5.730000;BE
5582;Verifone e-commerce;119.760000;95.160000;5.730000;BE
5583;Verifone e-commerce;141.500000;142.620000;12.770000;FR
5583;Verifone e-commerce;141.500000;142.620000;12.770000;FR
5583;Verifone e-commerce;141.500000;142.620000;12.770000;FR
5583;Verifone e-commerce;141.500000;142.620000;12.770000;FR
5583;Verifone e-commerce;141.500000;142.620000;12.770000;FR
5583;Verifone e-commerce;141.500000;142.620000;12.770000;FR
5583;Verifone e-commerce;141.500000;142.620000;12.770000;FR
5584;Verifone e-commerce;63.450000;44.690000;9.950000;FR
5584;Verifone e-commerce;63.450000;44.690000;9.950000;FR
5584;Verifone e-commerce;63.450000;44.690000;9.950000;FR
5584;Verifone e-commerce;63.450000;44.690000;9.950000;FR
5585;Verifone e-commerce;102.280000;81.500000;4.780000;FR
5585;Verifone e-commerce;102.280000;81.500000;4.780000;FR
5585;Verifone e-commerce;102.280000;81.500000;4.780000;FR
5585;Verifone e-commerce;102.280000;81.500000;4.780000;FR
5585;Verifone e-commerce;102.280000;81.500000;4.780000;FR
