Commande n°;Mode de paiement;Total payé réel;Total produits;Total transport;Code pays de livraison
4615;Verifone e-commerce;122.400000;92.400000;30.000000;MX
4615;Verifone e-commerce;122.400000;92.400000;30.000000;MX
4615;Verifone e-commerce;122.400000;92.400000;30.000000;MX
4616;Verifone e-commerce;55.800000;32.400000;16.800000;CZ
4616;Verifone e-commerce;55.800000;32.400000;16.800000;CZ
4617;Verifone e-commerce;114.800000;84.800000;30.000000;MX
4617;Verifone e-commerce;114.800000;84.800000;30.000000;MX
4618;Verifone e-commerce;144.340000;121.880000;5.640000;FR
4618;Verifone e-commerce;144.340000;121.880000;5.640000;FR
4619;Verifone e-commerce;113.750000;113.400000;8.750000;FR
4620;Verifone e-commerce;184.310000;143.340000;12.310000;FR
4620;Verifone e-commerce;184.310000;143.340000;12.310000;FR
4621;Verifone e-commerce;46.750000;31.670000;8.750000;FR
4621;Verifone e-commerce;46.750000;31.670000;8.750000;FR
4622;Verifone e-commerce;188.770000;148.000000;11.270000;FR
4622;Verifone e-commerce;188.770000;148.000000;11.270000;FR
4623;Verifone e-commerce;191.820000;175.000000;4.920000;FR
4623;Verifone e-commerce;191.820000;175.000000;4.920000;FR
4623;Verifone e-commerce;191.820000;175.000000;4.920000;FR
4623;Verifone e-commerce;191.820000;175.000000;4.920000;FR
4624;Verifone e-commerce;43.320000;31.970000;4.920000;FR
4624;Verifone e-commerce;43.320000;31.970000;4.920000;FR
4625;Verifone e-commerce;279.620000;260.000000;9.620000;FR
4626;Verifone e-commerce;53.580000;32.400000;14.580000;FR
4627;Verifone e-commerce;34.080000;16.200000;14.580000;FR
4628;Verifone e-commerce;174.290000;139.980000;6.290000;FR
4628;Verifone e-commerce;174.290000;139.980000;6.290000;FR
4630;Verifone e-commerce;184.410000;143.340000;12.410000;FR
4630;Verifone e-commerce;184.410000;143.340000;12.410000;FR
4631;Verifone e-commerce;95.140000;71.670000;9.140000;ES
4631;Verifone e-commerce;95.140000;71.670000;9.140000;ES
4632;Verifone e-commerce;54.700000;37.500000;9.700000;FR
4633;Verifone e-commerce;56.170000;48.600000;16.000000;MQ
4633;Verifone e-commerce;56.170000;48.600000;16.000000;MQ
4634;Verifone e-commerce;37.300000;24.300000;13.000000;CH
4635;Verifone e-commerce;90.580000;63.340000;14.580000;FR
4635;Verifone e-commerce;90.580000;63.340000;14.580000;FR
4635;Verifone e-commerce;90.580000;63.340000;14.580000;FR
4636;Verifone e-commerce;174.290000;139.980000;6.290000;BE
4636;Verifone e-commerce;174.290000;139.980000;6.290000;BE
4637;Verifone e-commerce;78.600000;48.600000;30.000000;US
4637;Verifone e-commerce;78.600000;48.600000;30.000000;US
4637;Verifone e-commerce;78.600000;48.600000;30.000000;US
4638;Verifone e-commerce;117.120000;129.600000;4.920000;FR
4639;Verifone e-commerce;32.920000;23.400000;4.920000;FR
4640;Verifone e-commerce;85.900000;67.500000;4.920000;FR
4640;Verifone e-commerce;85.900000;67.500000;4.920000;FR
4640;Verifone e-commerce;85.900000;67.500000;4.920000;FR
4641;Verifone e-commerce;24.420000;16.200000;4.920000;FR
4642;Verifone e-commerce;120.310000;101.000000;8.810000;FR
4642;Verifone e-commerce;120.310000;101.000000;8.810000;FR
4642;Verifone e-commerce;120.310000;101.000000;8.810000;FR
4642;Verifone e-commerce;120.310000;101.000000;8.810000;FR
4642;Verifone e-commerce;120.310000;101.000000;8.810000;FR
4642;Verifone e-commerce;120.310000;101.000000;8.810000;FR
4643;Verifone e-commerce;24.420000;16.200000;4.920000;FR
4644;Verifone e-commerce;187.790000;151.380000;6.290000;FR
4644;Verifone e-commerce;187.790000;151.380000;6.290000;FR
4644;Verifone e-commerce;187.790000;151.380000;6.290000;FR
4645;Verifone e-commerce;24.420000;16.200000;4.920000;FR
4646;Verifone e-commerce;139.920000;162.000000;4.920000;BE
4647;Verifone e-commerce;98.610000;73.330000;10.610000;FR
4647;Verifone e-commerce;98.610000;73.330000;10.610000;FR
4647;Verifone e-commerce;98.610000;73.330000;10.610000;FR
4648;Verifone e-commerce;217.290000;175.820000;6.290000;FR
4648;Verifone e-commerce;217.290000;175.820000;6.290000;FR
4648;Verifone e-commerce;217.290000;175.820000;6.290000;FR
4649;Verifone e-commerce;43.670000;31.670000;12.000000;IL
4649;Verifone e-commerce;43.670000;31.670000;12.000000;IL
4650;Verifone e-commerce;43.920000;32.400000;4.920000;FR
4650;Verifone e-commerce;43.920000;32.400000;4.920000;FR
4651;Verifone e-commerce;133.640000;106.680000;5.640000;FR
4651;Verifone e-commerce;133.640000;106.680000;5.640000;FR
4651;Verifone e-commerce;133.640000;106.680000;5.640000;FR
4652;Verifone e-commerce;459.180000;433.400000;47.450000;CH
4652;Verifone e-commerce;459.180000;433.400000;47.450000;CH
4652;Verifone e-commerce;459.180000;433.400000;47.450000;CH
4652;Verifone e-commerce;459.180000;433.400000;47.450000;CH
4652;Verifone e-commerce;459.180000;433.400000;47.450000;CH
4653;Virement bancaire;260.800000;198.540000;22.800000;DE
4653;Virement bancaire;260.800000;198.540000;22.800000;DE
4653;Virement bancaire;260.800000;198.540000;22.800000;DE
4653;Virement bancaire;260.800000;198.540000;22.800000;DE
4654;Verifone e-commerce;36.300000;16.200000;16.800000;GB
4655;Verifone e-commerce;137.510000;131.300000;8.810000;FR
4655;Verifone e-commerce;137.510000;131.300000;8.810000;FR
4655;Verifone e-commerce;137.510000;131.300000;8.810000;FR
4655;Verifone e-commerce;137.510000;131.300000;8.810000;FR
4655;Verifone e-commerce;137.510000;131.300000;8.810000;FR
4655;Verifone e-commerce;137.510000;131.300000;8.810000;FR
4656;Verifone e-commerce;47.810000;32.400000;8.810000;FR
4656;Verifone e-commerce;47.810000;32.400000;8.810000;FR
4657;Verifone e-commerce;178.290000;143.340000;6.290000;FR
4657;Verifone e-commerce;178.290000;143.340000;6.290000;FR
4658;Verifone e-commerce;1930.000000;3030.000000;22.000000;SA
4658;Verifone e-commerce;1930.000000;3030.000000;22.000000;SA
4658;Verifone e-commerce;1930.000000;3030.000000;22.000000;SA
4658;Verifone e-commerce;1930.000000;3030.000000;22.000000;SA
4658;Verifone e-commerce;1930.000000;3030.000000;22.000000;SA
4658;Verifone e-commerce;1930.000000;3030.000000;22.000000;SA
4659;Verifone e-commerce;136.270000;120.270000;16.000000;CH
4659;Verifone e-commerce;136.270000;120.270000;16.000000;CH
4659;Verifone e-commerce;136.270000;120.270000;16.000000;CH
4659;Verifone e-commerce;136.270000;120.270000;16.000000;CH
4659;Verifone e-commerce;136.270000;120.270000;16.000000;CH
4660;Verifone e-commerce;28.080000;16.200000;8.580000;ES
