Commande n°;Total payé réel;Total transport;Nom du transporteur;Pays de livraison;Ville de facturation;Code pays de livraison
5276;80.980000;4.780000;Mondial Relay;8;Oberhoffen sur moder ;FR
5276;80.980000;4.780000;Mondial Relay;8;Oberhoffen sur moder ;FR
5276;80.980000;4.780000;Mondial Relay;8;Oberhoffen sur moder ;FR
5277;210.930000;6.590000;Mondial Relay;8;Abbeville;FR
5277;210.930000;6.590000;Mondial Relay;8;Abbeville;FR
5277;210.930000;6.590000;Mondial Relay;8;Abbeville;FR
5277;210.930000;6.590000;Mondial Relay;8;Abbeville;FR
5277;210.930000;6.590000;Mondial Relay;8;Abbeville;FR
5278;129.740000;20.240000;Colissimo Dom-Tom / International;1;Leipzig;DE
5278;129.740000;20.240000;Colissimo Dom-Tom / International;1;Leipzig;DE
5279;187.520000;32.180000;Colissimo Dom-Tom / International;19;Vouvry;CH
5279;187.520000;32.180000;Colissimo Dom-Tom / International;19;Vouvry;CH
5279;187.520000;32.180000;Colissimo Dom-Tom / International;19;Vouvry;CH
5280;34.030000;4.780000;Mondial Relay;8;NOGENT SUR MARNE ;FR
5281;91.560000;5.260000;Mondial Relay;8;DECHY;FR
5281;91.560000;5.260000;Mondial Relay;8;DECHY;FR
5282;34.340000;14.840000;TNT Express;8;Vindry sur Turdine ;FR
5283;34.340000;14.840000;TNT Express;8;Levallois-Perret;FR
5284;187.590000;14.990000;TNT Express;8;olivet ;FR
5284;187.590000;14.990000;TNT Express;8;olivet ;FR
5284;187.590000;14.990000;TNT Express;8;olivet ;FR
5285;87.240000;5.260000;Mondial Relay;8;Concarneau;FR
5285;87.240000;5.260000;Mondial Relay;8;Concarneau;FR
5286;187.590000;14.990000;TNT Express;8;Belley;FR
5286;187.590000;14.990000;TNT Express;8;Belley;FR
5286;187.590000;14.990000;TNT Express;8;Belley;FR
5287;166.760000;6.590000;Mondial Relay;8;Mormant;FR
5287;166.760000;6.590000;Mondial Relay;8;Mormant;FR
5288;111.140000;14.840000;TNT Express;8;Paris;FR
5288;111.140000;14.840000;TNT Express;8;Paris;FR
5289;292.270000;6.770000;Mondial Relay;8;HAPPENCOURT;FR
5289;292.270000;6.770000;Mondial Relay;8;HAPPENCOURT;FR
5290;321.980000;40.980000;Colissimo Dom-Tom / International;3;St Georges sur Meuse ;BE
5290;321.980000;40.980000;Colissimo Dom-Tom / International;3;St Georges sur Meuse ;BE
5291;101.140000;14.840000;TNT Express;8;Grand bourgtheroulde ;FR
5291;101.140000;14.840000;TNT Express;8;Grand bourgtheroulde ;FR
5292;143.240000;14.840000;TNT Express;8;La Chevroliere;FR
5292;143.240000;14.840000;TNT Express;8;La Chevroliere;FR
5292;143.240000;14.840000;TNT Express;8;La Chevroliere;FR
5292;143.240000;14.840000;TNT Express;8;La Chevroliere;FR
5292;143.240000;14.840000;TNT Express;8;La Chevroliere;FR
5293;62.380000;4.780000;Mondial Relay;8;AUZIELLE;FR
5293;62.380000;4.780000;Mondial Relay;8;AUZIELLE;FR
5293;62.380000;4.780000;Mondial Relay;8;AUZIELLE;FR
5294;42.880000;4.780000;Mondial Relay;8;Saint-Onen-la-Chapelle;FR
5294;42.880000;4.780000;Mondial Relay;8;Saint-Onen-la-Chapelle;FR
5295;69.380000;4.780000;Mondial Relay;8;Breuillet ;FR
5295;69.380000;4.780000;Mondial Relay;8;Breuillet ;FR
5295;69.380000;4.780000;Mondial Relay;8;Breuillet ;FR
5296;163.190000;6.590000;Mondial Relay;8;Le Plessis Robinson;FR
5296;163.190000;6.590000;Mondial Relay;8;Le Plessis Robinson;FR
5296;163.190000;6.590000;Mondial Relay;8;Le Plessis Robinson;FR
5297;143.240000;14.840000;TNT Express;8;schoelcher;FR
5297;143.240000;14.840000;TNT Express;8;schoelcher;FR
5298;78.180000;20.580000;Colissimo;3;Bruxelles;BE
5298;78.180000;20.580000;Colissimo;3;Bruxelles;BE
5298;78.180000;20.580000;Colissimo;3;Bruxelles;BE
5299;106.880000;20.580000;Colissimo National / Dom-Tom / International;10;Quaderni di Villafranca;IT
5299;106.880000;20.580000;Colissimo National / Dom-Tom / International;10;Quaderni di Villafranca;IT
5300;24.280000;4.780000;Mondial Relay;8;Le Teich;FR
5301;175.490000;14.990000;TNT Express;8;Paris;FR
5301;175.490000;14.990000;TNT Express;8;Paris;FR
5301;175.490000;14.990000;TNT Express;8;Paris;FR
5301;175.490000;14.990000;TNT Express;8;Paris;FR
5301;175.490000;14.990000;TNT Express;8;Paris;FR
5301;175.490000;14.990000;TNT Express;8;Paris;FR
5302;91.560000;5.260000;Mondial Relay;8;Saint nizier le désert ;FR
5302;91.560000;5.260000;Mondial Relay;8;Saint nizier le désert ;FR
5303;91.560000;5.260000;Mondial Relay;8;LA SEYNE SUR MER;FR
5303;91.560000;5.260000;Mondial Relay;8;LA SEYNE SUR MER;FR
5304;205.590000;6.590000;Mondial Relay;8;CAZILHAC;FR
5304;205.590000;6.590000;Mondial Relay;8;CAZILHAC;FR
5305;43.780000;4.780000;Mondial Relay;8;Velorcey;FR
5305;43.780000;4.780000;Mondial Relay;8;Velorcey;FR
5306;105.140000;27.140000;Colissimo Dom-Tom / International;1;Burghausen;DE
5306;105.140000;27.140000;Colissimo Dom-Tom / International;1;Burghausen;DE
5306;105.140000;27.140000;Colissimo Dom-Tom / International;1;Burghausen;DE
5306;105.140000;27.140000;Colissimo Dom-Tom / International;1;Burghausen;DE
5307;183.670000;6.590000;Mondial Relay;8;CHOISY-LE-ROI;FR
5307;183.670000;6.590000;Mondial Relay;8;CHOISY-LE-ROI;FR
5308;291.970000;6.770000;Mondial Relay;8;Benon;FR
5308;291.970000;6.770000;Mondial Relay;8;Benon;FR
