Commande n°;Total payé réel;Total transport;Nom du transporteur;Pays de livraison;Ville de facturation;Code pays de livraison
5446;152.760000;5.260000;Mondial Relay;8;LE BOULOU;FR
5446;152.760000;5.260000;Mondial Relay;8;LE BOULOU;FR
5446;152.760000;5.260000;Mondial Relay;8;LE BOULOU;FR
5446;152.760000;5.260000;Mondial Relay;8;LE BOULOU;FR
5447;169.590000;6.590000;Mondial Relay;8;vacquiers;FR
5447;169.590000;6.590000;Mondial Relay;8;vacquiers;FR
5448;86.900000;9.900000;Colissimo;8;PARIS;FR
5448;86.900000;9.900000;Colissimo;8;PARIS;FR
5448;86.900000;9.900000;Colissimo;8;PARIS;FR
5449;73.030000;4.780000;Mondial Relay;8;Bassussarry;FR
5450;219.680000;6.680000;Mondial Relay;3;Wanze;BE
5450;219.680000;6.680000;Mondial Relay;3;Wanze;BE
5450;219.680000;6.680000;Mondial Relay;3;Wanze;BE
5450;219.680000;6.680000;Mondial Relay;3;Wanze;BE
5450;219.680000;6.680000;Mondial Relay;3;Wanze;BE
5451;197.640000;12.720000;Colissimo;8;LERAN;FR
5451;197.640000;12.720000;Colissimo;8;LERAN;FR
5452;125.870000;10.870000;Colissimo;8;paris;FR
5452;125.870000;10.870000;Colissimo;8;paris;FR
5453;315.200000;0.000000;Colissimo;8;CARCASSONNE;FR
5453;315.200000;0.000000;Colissimo;8;CARCASSONNE;FR
5453;315.200000;0.000000;Colissimo;8;CARCASSONNE;FR
5453;315.200000;0.000000;Colissimo;8;CARCASSONNE;FR
5454;164.090000;6.590000;Mondial Relay;8;l'Isle d 'Abeau;FR
5454;164.090000;6.590000;Mondial Relay;8;l'Isle d 'Abeau;FR
5454;164.090000;6.590000;Mondial Relay;8;l'Isle d 'Abeau;FR
5455;320.400000;0.000000;Colissimo;8;Montreuil-juigné;FR
5455;320.400000;0.000000;Colissimo;8;Montreuil-juigné;FR
5455;320.400000;0.000000;Colissimo;8;Montreuil-juigné;FR
5455;320.400000;0.000000;Colissimo;8;Montreuil-juigné;FR
5455;320.400000;0.000000;Colissimo;8;Montreuil-juigné;FR
5455;320.400000;0.000000;Colissimo;8;Montreuil-juigné;FR
5455;320.400000;0.000000;Colissimo;8;Montreuil-juigné;FR
5455;320.400000;0.000000;Colissimo;8;Montreuil-juigné;FR
5455;320.400000;0.000000;Colissimo;8;Montreuil-juigné;FR
5456;127.330000;4.780000;Mondial Relay;8;Dole;FR
5457;85.060000;7.060000;Mondial Relay;6;Alcantarilla;ES
5458;455.400000;0.000000;Colissimo;8;LOURY;FR
5458;455.400000;0.000000;Colissimo;8;LOURY;FR
5458;455.400000;0.000000;Colissimo;8;LOURY;FR
5458;455.400000;0.000000;Colissimo;8;LOURY;FR
5458;455.400000;0.000000;Colissimo;8;LOURY;FR
5458;455.400000;0.000000;Colissimo;8;LOURY;FR
5458;455.400000;0.000000;Colissimo;8;LOURY;FR
5459;47.010000;9.010000;Colissimo;8;civières;FR
5459;47.010000;9.010000;Colissimo;8;civières;FR
5460;92.760000;5.260000;Mondial Relay;8;Vallauris;FR
5460;92.760000;5.260000;Mondial Relay;8;Vallauris;FR
5461;61.600000;13.000000;Colissimo  Dom-Tom / International;15;PORTO;PT
5461;61.600000;13.000000;Colissimo  Dom-Tom / International;15;PORTO;PT
