Commande n°;Total payé réel;Total transport
5888;278.040000;0.000000
5888;278.040000;0.000000
5888;278.040000;0.000000
5888;278.040000;0.000000
5889;141.740000;5.260000
5889;141.740000;5.260000
5889;141.740000;5.260000
5889;141.740000;5.260000
5889;141.740000;5.260000
5890;81.000000;4.980000
5890;81.000000;4.980000
5890;81.000000;4.980000
5891;193.070000;13.550000
5891;193.070000;13.550000
5891;193.070000;13.550000
5891;193.070000;13.550000
5891;193.070000;13.550000
5891;193.070000;13.550000
5891;193.070000;13.550000
5892;236.040000;13.550000
5892;236.040000;13.550000
5892;236.040000;13.550000
5892;236.040000;13.550000
5892;236.040000;13.550000
5892;236.040000;13.550000
5892;236.040000;13.550000
5893;53.610000;15.600000
5893;53.610000;15.600000
5894;101.480000;10.460000
5894;101.480000;10.460000
5894;101.480000;10.460000
5895;514.950000;0.000000
5895;514.950000;0.000000
5895;514.950000;0.000000
5895;514.950000;0.000000
5895;514.950000;0.000000
5895;514.950000;0.000000
5895;514.950000;0.000000
5895;514.950000;0.000000
5895;514.950000;0.000000
5895;514.950000;0.000000
5895;514.950000;0.000000
5895;514.950000;0.000000
5895;514.950000;0.000000
5896;54.280000;4.780000
5896;54.280000;4.780000
5896;54.280000;4.780000
5897;234.890000;6.680000
5897;234.890000;6.680000
5897;234.890000;6.680000
5897;234.890000;6.680000
5897;234.890000;6.680000
5898;253.440000;0.000000
5898;253.440000;0.000000
5899;97.490000;11.480000
5899;97.490000;11.480000
5900;188.380000;4.780000
5900;188.380000;4.780000
5901;82.750000;4.780000
5901;82.750000;4.780000
5901;82.750000;4.780000
5902;201.200000;6.680000
5902;201.200000;6.680000
5902;201.200000;6.680000
5903;141.240000;6.680000
5903;141.240000;6.680000
5903;141.240000;6.680000
5904;63.280000;4.780000
5904;63.280000;4.780000
5904;63.280000;4.780000
5905;47.510000;9.500000
5905;47.510000;9.500000
5906;133.620000;15.600000
5906;133.620000;15.600000
5906;133.620000;15.600000
5907;369.540000;0.000000
5907;369.540000;0.000000
5907;369.540000;0.000000
5907;369.540000;0.000000
5907;369.540000;0.000000
5907;369.540000;0.000000
5907;369.540000;0.000000
5907;369.540000;0.000000
5907;369.540000;0.000000
5907;369.540000;0.000000
5907;369.540000;0.000000
5908;38.780000;4.780000
5908;38.780000;4.780000
5908;38.780000;4.780000
5909;222.580000;4.780000
5910;166.700000;6.680000
5910;166.700000;6.680000
5911;124.230000;22.850000
5911;124.230000;22.850000
5911;124.230000;22.850000
5912;152.200000;14.680000
5912;152.200000;14.680000
5912;152.200000;14.680000
5913;170.090000;6.680000
5913;170.090000;6.680000
5913;170.090000;6.680000
5914;91.240000;4.780000
5914;91.240000;4.780000
