Commande n°;Total payé réel;Total transport
5923;91.740000;5.730000
5923;91.740000;5.730000
5924;237.660000;0.000000
5924;237.660000;0.000000
5924;237.660000;0.000000
5924;237.660000;0.000000
5924;237.660000;0.000000
5924;237.660000;0.000000
5924;237.660000;0.000000
5924;237.660000;0.000000
5924;237.660000;0.000000
5925;101.290000;4.780000
5925;101.290000;4.780000
5925;101.290000;4.780000
5926;173.500000;6.680000
5926;173.500000;6.680000
5926;173.500000;6.680000
5926;173.500000;6.680000
5926;173.500000;6.680000
5926;173.500000;6.680000
5927;85.980000;4.980000
5928;96.080000;10.460000
5928;96.080000;10.460000
5929;62.290000;4.780000
5929;62.290000;4.780000
5929;62.290000;4.780000
5930;119.290000;5.260000
5930;119.290000;5.260000
5930;119.290000;5.260000
5930;119.290000;5.260000
5931;168.360000;13.550000
5931;168.360000;13.550000
5931;168.360000;13.550000
5931;168.360000;13.550000
5931;168.360000;13.550000
5931;168.360000;13.550000
5931;168.360000;13.550000
5932;93.180000;11.480000
5932;93.180000;11.480000
5933;86.480000;10.460000
5933;86.480000;10.460000
5934;42.990000;4.980000
5934;42.990000;4.980000
5935;242.770000;14.680000
5935;242.770000;14.680000
5936;100.210000;5.260000
5936;100.210000;5.260000
5937;114.040000;4.780000
5937;114.040000;4.780000
5937;114.040000;4.780000
