Commande n°;Total payé réel
4549;76.620000
4549;76.620000
4549;76.620000
4550;33.720000
4550;33.720000
4551;41.240000
4552;30.720000
4552;30.720000
4553;24.820000
4554;39.620000
4554;39.620000
4554;39.620000
4557;91.080000
4557;91.080000
4557;91.080000
4557;91.080000
4560;24.820000
4561;32.280000
4561;32.280000
4562;24.820000
4564;37.880000
4564;37.880000
4564;37.880000
4570;24.820000
4572;31.620000
4573;43.920000
4573;43.920000
4574;18.220000
4575;24.820000
4577;52.920000
4577;52.920000
4577;52.920000
4580;36.140000
4580;36.140000
4580;36.140000
4581;80.920000
4581;80.920000
4582;24.820000
4583;24.820000
4584;23.440000
4585;44.720000
4587;24.820000
4588;80.000000
4588;80.000000
4588;80.000000
4588;80.000000
4589;19.720000
4589;19.720000
4590;24.420000
4593;24.820000
4594;18.980000
4594;18.980000
4596;24.820000
4597;100.720000
4597;100.720000
4598;24.820000
4599;230.040000
4599;230.040000
4599;230.040000
4599;230.040000
4599;230.040000
4599;230.040000
4601;361.380000
4602;44.580000
4602;44.580000
4603;57.420000
4603;57.420000
4604;24.420000
4605;813.180000
4605;813.180000
4606;114.300000
4608;62.420000
4608;62.420000
4608;62.420000
4609;532.330000
4609;532.330000
4611;187.790000
4611;187.790000
4611;187.790000
4612;57.980000
4612;57.980000
4614;1436.500000
4614;1436.500000
