Commande n°;Total payé réel
4618;144.340000
4618;144.340000
4623;191.820000
4623;191.820000
4623;191.820000
4623;191.820000
4624;43.320000
4624;43.320000
4626;53.580000
4627;34.080000
4628;174.290000
4628;174.290000
4631;95.140000
4631;95.140000
4635;90.580000
4635;90.580000
4635;90.580000
4636;174.290000
4636;174.290000
4638;117.120000
4639;32.920000
4640;85.900000
4640;85.900000
4640;85.900000
4641;24.420000
4643;24.420000
4644;187.790000
4644;187.790000
4644;187.790000
4645;24.420000
4646;139.920000
4648;217.290000
4648;217.290000
4648;217.290000
4649;43.670000
4649;43.670000
4650;43.920000
4650;43.920000
4651;133.640000
4651;133.640000
4651;133.640000
4652;459.180000
4652;459.180000
4652;459.180000
4652;459.180000
4652;459.180000
4657;178.290000
4657;178.290000
4660;28.080000
