Commande n°;Mode de paiement;Total payé réel;Total produits;Total transport;Code pays de livraison
4759;Verifone e-commerce;46.820000;31.670000;8.820000;FR
4759;Verifone e-commerce;46.820000;31.670000;8.820000;FR
4760;Verifone e-commerce;66.000000;50.000000;16.000000;RE
4760;Verifone e-commerce;66.000000;50.000000;16.000000;RE
4761;PayPal;27.340000;16.200000;8.820000;FR
4762;Verifone e-commerce;184.430000;143.340000;12.430000;FR
4762;Verifone e-commerce;184.430000;143.340000;12.430000;FR
4763;Verifone e-commerce;178.340000;155.340000;23.000000;GP
4763;Verifone e-commerce;178.340000;155.340000;23.000000;GP
4763;Verifone e-commerce;178.340000;155.340000;23.000000;GP
4764;Verifone e-commerce;251.080000;219.960000;13.480000;FR
4764;Verifone e-commerce;251.080000;219.960000;13.480000;FR
4764;Verifone e-commerce;251.080000;219.960000;13.480000;FR
4764;Verifone e-commerce;251.080000;219.960000;13.480000;FR
4765;Verifone e-commerce;252.110000;210.270000;12.430000;FR
4765;Verifone e-commerce;252.110000;210.270000;12.430000;FR
4765;Verifone e-commerce;252.110000;210.270000;12.430000;FR
4765;Verifone e-commerce;252.110000;210.270000;12.430000;FR
4766;Verifone e-commerce;229.320000;189.320000;13.480000;FR
4766;Verifone e-commerce;229.320000;189.320000;13.480000;FR
4767;Verifone e-commerce;96.630000;71.670000;10.630000;FR
4767;Verifone e-commerce;96.630000;71.670000;10.630000;FR
4768;Verifone e-commerce;45.870000;32.400000;8.820000;FR
4768;Verifone e-commerce;45.870000;32.400000;8.820000;FR
4769;Verifone e-commerce;46.820000;31.670000;8.820000;FR
4769;Verifone e-commerce;46.820000;31.670000;8.820000;FR
4770;Verifone e-commerce;133.370000;107.080000;11.390000;FR
4770;Verifone e-commerce;133.370000;107.080000;11.390000;FR
4771;Verifone e-commerce;172.030000;139.980000;12.430000;FR
4771;Verifone e-commerce;172.030000;139.980000;12.430000;FR
4772;Verifone e-commerce;80.400000;73.400000;7.000000;CH
4772;Verifone e-commerce;80.400000;73.400000;7.000000;CH
4773;Virement bancaire;54.000000;40.000000;8.400000;BE
4774;Verifone e-commerce;193.930000;151.380000;12.430000;FR
4774;Verifone e-commerce;193.930000;151.380000;12.430000;FR
4774;Verifone e-commerce;193.930000;151.380000;12.430000;FR
4775;Verifone e-commerce;241.130000;190.680000;12.430000;FR
4775;Verifone e-commerce;241.130000;190.680000;12.430000;FR
4775;Verifone e-commerce;241.130000;190.680000;12.430000;FR
4775;Verifone e-commerce;241.130000;190.680000;12.430000;FR
4775;Verifone e-commerce;241.130000;190.680000;12.430000;FR
4775;Verifone e-commerce;241.130000;190.680000;12.430000;FR
4775;Verifone e-commerce;241.130000;190.680000;12.430000;FR
4775;Verifone e-commerce;241.130000;190.680000;12.430000;FR
4775;Verifone e-commerce;241.130000;190.680000;12.430000;FR
4775;Verifone e-commerce;241.130000;190.680000;12.430000;FR
4776;PayPal;148.700000;157.500000;7.000000;CH
4776;PayPal;148.700000;157.500000;7.000000;CH
4776;PayPal;148.700000;157.500000;7.000000;CH
4776;PayPal;148.700000;157.500000;7.000000;CH
4776;PayPal;148.700000;157.500000;7.000000;CH
4776;PayPal;148.700000;157.500000;7.000000;CH
4776;PayPal;148.700000;157.500000;7.000000;CH
4776;PayPal;148.700000;157.500000;7.000000;CH
4776;PayPal;148.700000;157.500000;7.000000;CH
4777;Verifone e-commerce;97.600000;53.460000;33.250000;IE
4778;PayPal;229.690000;178.110000;16.090000;FR
4778;PayPal;229.690000;178.110000;16.090000;FR
4778;PayPal;229.690000;178.110000;16.090000;FR
4778;PayPal;229.690000;178.110000;16.090000;FR
4779;Verifone e-commerce;92.330000;71.670000;10.630000;FR
4779;Verifone e-commerce;92.330000;71.670000;10.630000;FR
4780;Verifone e-commerce;27.900000;16.200000;8.400000;BE
4781;Verifone e-commerce;187.630000;145.980000;12.430000;FR
