Commande n°;Total payé réel
4429;135.090000
4429;135.090000
4429;135.090000
4430;44.720000
4431;84.520000
4432;64.920000
4432;64.920000
4433;24.820000
4434;80.920000
4434;80.920000
4434;80.920000
4435;198.290000
4435;198.290000
4435;198.290000
4435;198.290000
4435;198.290000
4435;198.290000
4435;198.290000
4435;198.290000
4436;41.020000
4436;41.020000
4437;44.720000
4438;44.720000
4439;60.480000
4439;60.480000
4439;60.480000
4440;38.580000
4440;38.580000
4441;33.720000
4441;33.720000
4442;109.140000
4442;109.140000
4442;109.140000
4443;74.920000
4444;80.080000
4444;80.080000
4445;32.280000
4445;32.280000
4446;56.600000
4447;391.090000
4448;32.580000
4449;42.920000
4449;42.920000
4450;24.420000
4451;80.580000
4451;80.580000
4451;80.580000
4451;80.580000
4452;186.700000
4452;186.700000
4452;186.700000
4453;126.360000
4453;126.360000
4453;126.360000
4453;126.360000
4454;47.420000
4454;47.420000
4455;63.420000
4455;63.420000
4456;117.550000
4456;117.550000
4456;117.550000
4457;24.420000
4458;28.480000
4459;43.280000
4459;43.280000
4459;43.280000
4460;92.800000
4460;92.800000
4460;92.800000
4460;92.800000
4461;48.380000
4462;36.700000
4463;54.800000
4463;54.800000
4464;80.640000
4464;80.640000
4465;219.290000
4465;219.290000
4465;219.290000
4465;219.290000
4466;34.920000
4466;34.920000
4467;24.820000
4468;142.920000
4468;142.920000
4468;142.920000
4469;80.920000
4469;80.920000
4469;80.920000
4470;46.580000
4470;46.580000
4471;24.820000
4472;30.720000
4472;30.720000
4473;127.240000
4473;127.240000
4473;127.240000
4474;96.360000
4474;96.360000
4475;184.900000
4475;184.900000
4475;184.900000
4475;184.900000
4476;100.430000
4476;100.430000
4477;24.820000
4478;100.500000
4478;100.500000
4478;100.500000
4478;100.500000
4478;100.500000
4478;100.500000
4479;57.420000
4481;34.060000
4482;161.050000
4482;161.050000
4482;161.050000
4482;161.050000
4482;161.050000
4482;161.050000
4482;161.050000
4482;161.050000
4483;90.560000
4483;90.560000
4484;116.420000
4484;116.420000
4484;116.420000
4484;116.420000
4484;116.420000
4484;116.420000
4485;44.720000
4486;43.920000
4486;43.920000
4487;138.440000
4487;138.440000
4487;138.440000
4487;138.440000
4487;138.440000
4488;80.580000
4488;80.580000
4488;80.580000
4488;80.580000
4490;37.500000
4490;37.500000
4491;53.620000
4491;53.620000
4492;178.290000
4492;178.290000
4493;46.580000
4493;46.580000
4494;19.720000
4494;19.720000
4495;48.380000
4496;24.820000
4497;24.820000
4498;24.820000
4499;36.700000
4500;30.720000
4500;30.720000
4501;24.420000
4502;44.720000
4503;24.420000
4504;24.820000
