Commande n°;Total payé réel
5639;219.860000
5639;219.860000
5639;219.860000
5639;219.860000
5639;219.860000
5640;148.580000
5640;148.580000
5641;257.680000
5641;257.680000
5642;41.910000
5643;65.340000
5643;65.340000
5644;24.390000
5645;201.740000
5645;201.740000
5646;43.890000
5647;128.210000
5647;128.210000
5648;295.900000
5648;295.900000
5648;295.900000
5648;295.900000
5648;295.900000
5649;141.860000
5649;141.860000
5649;141.860000
5650;28.890000
5651;74.100000
5652;148.420000
5652;148.420000
5652;148.420000
5652;148.420000
5652;148.420000
5653;24.390000
5654;24.390000
5655;88.410000
5655;88.410000
