Commande n°;Mode de paiement;Total payé réel;Total produits;Total transport;Code pays de livraison
5714;Verifone e-commerce;78.440000;63.440000;15.000000;RE
5714;Verifone e-commerce;78.440000;63.440000;15.000000;RE
5715;Verifone e-commerce;30.300000;17.500000;9.300000;FR
5716;Verifone e-commerce;63.280000;48.900000;4.780000;FR
5716;Verifone e-commerce;63.280000;48.900000;4.780000;FR
5717;Verifone e-commerce;111.310000;96.040000;7.800000;FR
5717;Verifone e-commerce;111.310000;96.040000;7.800000;FR
5717;Verifone e-commerce;111.310000;96.040000;7.800000;FR
5717;Verifone e-commerce;111.310000;96.040000;7.800000;FR
5717;Verifone e-commerce;111.310000;96.040000;7.800000;FR
5718;Verifone e-commerce;245.780000;178.780000;67.000000;RE
5718;Verifone e-commerce;245.780000;178.780000;67.000000;RE
5718;Verifone e-commerce;245.780000;178.780000;67.000000;RE
5718;Verifone e-commerce;245.780000;178.780000;67.000000;RE
5719;Virement bancaire;148.920000;113.920000;35.000000;RE
5719;Virement bancaire;148.920000;113.920000;35.000000;RE
5720;Virement bancaire;70.730000;49.670000;11.240000;FR
5720;Virement bancaire;70.730000;49.670000;11.240000;FR
5720;Virement bancaire;70.730000;49.670000;11.240000;FR
5721;Verifone e-commerce;45.070000;31.720000;7.060000;ES
5721;Verifone e-commerce;45.070000;31.720000;7.060000;ES
5722;Verifone e-commerce;128.090000;113.920000;5.260000;FR
5722;Verifone e-commerce;128.090000;113.920000;5.260000;FR
5723;Virement bancaire;39.080000;26.080000;13.000000;SE
5724;Verifone e-commerce;28.780000;20.000000;4.780000;FR
5725;Verifone e-commerce;142.210000;113.920000;5.730000;BE
5725;Verifone e-commerce;142.210000;113.920000;5.730000;BE
5726;PayPal;28.180000;19.560000;4.780000;FR
5727;Verifone e-commerce;141.280000;114.100000;4.780000;FR
5727;Verifone e-commerce;141.280000;114.100000;4.780000;FR
5727;Verifone e-commerce;141.280000;114.100000;4.780000;FR
5727;Verifone e-commerce;141.280000;114.100000;4.780000;FR
5727;Verifone e-commerce;141.280000;114.100000;4.780000;FR
5727;Verifone e-commerce;141.280000;114.100000;4.780000;FR
5727;Verifone e-commerce;141.280000;114.100000;4.780000;FR
5728;PayPal;188.320000;146.180000;13.260000;FR
5728;PayPal;188.320000;146.180000;13.260000;FR
5728;PayPal;188.320000;146.180000;13.260000;FR
5729;Verifone e-commerce;141.740000;113.920000;5.260000;FR
5729;Verifone e-commerce;141.740000;113.920000;5.260000;FR
5729;Verifone e-commerce;141.740000;113.920000;5.260000;FR
5729;Verifone e-commerce;141.740000;113.920000;5.260000;FR
5729;Verifone e-commerce;141.740000;113.920000;5.260000;FR
5730;Chèque;0.000000;263.320000;0.000000;CH
5730;Chèque;0.000000;263.320000;0.000000;CH
5730;Chèque;0.000000;263.320000;0.000000;CH
5730;Chèque;0.000000;263.320000;0.000000;CH
5730;Chèque;0.000000;263.320000;0.000000;CH
5731;Verifone e-commerce;146.240000;117.620000;5.260000;FR
5731;Verifone e-commerce;146.240000;117.620000;5.260000;FR
5731;Verifone e-commerce;146.240000;117.620000;5.260000;FR
5731;Verifone e-commerce;146.240000;117.620000;5.260000;FR
5731;Verifone e-commerce;146.240000;117.620000;5.260000;FR
5732;Verifone e-commerce;244.790000;214.120000;0.000000;FR
5732;Verifone e-commerce;244.790000;214.120000;0.000000;FR
5733;Virement bancaire;47.820000;35.860000;4.920000;BE
5733;Virement bancaire;47.820000;35.860000;4.920000;BE
5734;Verifone e-commerce;43.780000;32.600000;4.780000;FR
5734;Verifone e-commerce;43.780000;32.600000;4.780000;FR
5735;Verifone e-commerce;47.310000;31.720000;9.300000;FR
5735;Verifone e-commerce;47.310000;31.720000;9.300000;FR
5736;Verifone e-commerce;47.310000;31.720000;9.300000;FR
5736;Verifone e-commerce;47.310000;31.720000;9.300000;FR
5737;PayPal;70.090000;63.440000;13.000000;CH
5737;PayPal;70.090000;63.440000;13.000000;CH
5737;PayPal;70.090000;63.440000;13.000000;CH
5738;Verifone e-commerce;0.000000;135.980000;13.260000;FR
5738;Verifone e-commerce;0.000000;135.980000;13.260000;FR
5739;Verifone e-commerce;172.890000;146.180000;6.590000;FR
5739;Verifone e-commerce;172.890000;146.180000;6.590000;FR
5739;Verifone e-commerce;172.890000;146.180000;6.590000;FR
5740;Verifone e-commerce;24.280000;16.300000;4.780000;FR
5741;Verifone e-commerce;137.560000;110.400000;5.260000;FR
5741;Verifone e-commerce;137.560000;110.400000;5.260000;FR
5742;Verifone e-commerce;24.420000;16.300000;4.920000;BE
5743;Verifone e-commerce;93.260000;73.090000;5.730000;BE
5743;Verifone e-commerce;93.260000;73.090000;5.730000;BE
5744;Verifone e-commerce;112.270000;84.190000;11.240000;FR
5744;Verifone e-commerce;112.270000;84.190000;11.240000;FR
