Commande n°;Total payé réel;Total transport
5912;152.200000;14.680000
5912;152.200000;14.680000
5912;152.200000;14.680000
5913;170.090000;6.680000
5913;170.090000;6.680000
5913;170.090000;6.680000
5914;91.240000;4.780000
5914;91.240000;4.780000
5915;175.910000;6.680000
5915;175.910000;6.680000
5915;175.910000;6.680000
5916;76.590000;4.770000
5916;76.590000;4.770000
5917;77.230000;11.480000
5917;77.230000;11.480000
5917;77.230000;11.480000
5918;42.790000;4.780000
5918;42.790000;4.780000
5919;170.090000;6.680000
5919;170.090000;6.680000
5919;170.090000;6.680000
5920;148.750000;12.270000
5920;148.750000;12.270000
5920;148.750000;12.270000
5921;110.580000;5.260000
5921;110.580000;5.260000
5921;110.580000;5.260000
5922;42.790000;4.780000
5922;42.790000;4.780000
