Total payé réel;Total transport
76.620000;24.120000
76.620000;24.120000
76.620000;24.120000
33.720000;4.920000
33.720000;4.920000
41.240000;5.640000
30.720000;4.920000
30.720000;4.920000
24.820000;4.920000
39.620000;4.920000
39.620000;4.920000
39.620000;4.920000
22.720000;4.920000
91.080000;14.580000
91.080000;14.580000
91.080000;14.580000
91.080000;14.580000
36.700000;16.800000
24.820000;4.920000
32.280000;4.920000
32.280000;4.920000
24.820000;4.920000
37.880000;4.920000
37.880000;4.920000
37.880000;4.920000
74.890000;8.590000
19.920000;4.920000
28.490000;8.590000
96.090000;8.590000
27.180000;9.480000
24.820000;4.920000
28.090000;8.590000
31.620000;4.920000
43.920000;4.920000
43.920000;4.920000
18.220000;4.920000
24.820000;4.920000
106.800000;16.800000
52.920000;4.920000
52.920000;4.920000
52.920000;4.920000
36.700000;16.800000
36.140000;4.920000
36.140000;4.920000
36.140000;4.920000
80.920000;4.920000
80.920000;4.920000
24.820000;4.920000
24.820000;4.920000
23.440000;4.920000
44.720000;4.920000
28.490000;8.590000
24.820000;4.920000
80.000000;4.920000
80.000000;4.920000
80.000000;4.920000
80.000000;4.920000
19.720000;4.920000
19.720000;4.920000
24.420000;4.920000
47.290000;9.480000
29.580000;13.000000
24.820000;4.920000
18.980000;4.920000
18.980000;4.920000
184.120000;12.120000
184.120000;12.120000
184.120000;12.120000
24.820000;4.920000
100.720000;14.720000
100.720000;14.720000
24.820000;4.920000
230.040000;5.640000
230.040000;5.640000
230.040000;5.640000
230.040000;5.640000
230.040000;5.640000
230.040000;5.640000
36.700000;16.800000
361.380000;10.380000
44.580000;14.580000
44.580000;14.580000
57.420000;4.920000
57.420000;4.920000
24.420000;4.920000
813.180000;15.180000
813.180000;15.180000
114.300000;16.800000
54.480000;9.480000
62.420000;4.920000
62.420000;4.920000
62.420000;4.920000
532.330000;72.730000
532.330000;72.730000
560.320000;13.120000
560.320000;13.120000
187.790000;6.290000
187.790000;6.290000
187.790000;6.290000
57.980000;14.580000
57.980000;14.580000
504.320000;13.120000
504.320000;13.120000
1436.500000;16.500000
1436.500000;16.500000
