Commande n°;Total payé réel;Total transport;Nom du transporteur;Pays de livraison;Ville de facturation;Code pays de livraison
4964;144.830000;12.230000;Colissimo;8;Marolles en brie;FR
4964;144.830000;12.230000;Colissimo;8;Marolles en brie;FR
4964;144.830000;12.230000;Colissimo;8;Marolles en brie;FR
4965;127.620000;5.640000;Mondial Relay;8;Orbigny;FR
4965;127.620000;5.640000;Mondial Relay;8;Orbigny;FR
4965;127.620000;5.640000;Mondial Relay;8;Orbigny;FR
4965;127.620000;5.640000;Mondial Relay;8;Orbigny;FR
4965;127.620000;5.640000;Mondial Relay;8;Orbigny;FR
4966;134.040000;5.640000;Mondial Relay;8;MONSEGUR;FR
4966;134.040000;5.640000;Mondial Relay;8;MONSEGUR;FR
4966;134.040000;5.640000;Mondial Relay;8;MONSEGUR;FR
4966;134.040000;5.640000;Mondial Relay;8;MONSEGUR;FR
4966;134.040000;5.640000;Mondial Relay;8;MONSEGUR;FR
4967;201.290000;6.290000;Mondial Relay;8;SORGES ET LIGUEUX EN PERIGORD;FR
4967;201.290000;6.290000;Mondial Relay;8;SORGES ET LIGUEUX EN PERIGORD;FR
4968;231.950000;7.150000;Mondial Relay;8;Valros;FR
4968;231.950000;7.150000;Mondial Relay;8;Valros;FR
4968;231.950000;7.150000;Mondial Relay;8;Valros;FR
4968;231.950000;7.150000;Mondial Relay;8;Valros;FR
4968;231.950000;7.150000;Mondial Relay;8;Valros;FR
4968;231.950000;7.150000;Mondial Relay;8;Valros;FR
4968;231.950000;7.150000;Mondial Relay;8;Valros;FR
4968;231.950000;7.150000;Mondial Relay;8;Valros;FR
4969;138.440000;5.640000;Mondial Relay;8;nantes;FR
4969;138.440000;5.640000;Mondial Relay;8;nantes;FR
4969;138.440000;5.640000;Mondial Relay;8;nantes;FR
4969;138.440000;5.640000;Mondial Relay;8;nantes;FR
4969;138.440000;5.640000;Mondial Relay;8;nantes;FR
4970;127.620000;5.640000;Mondial Relay;8;AMIENS;FR
4970;127.620000;5.640000;Mondial Relay;8;AMIENS;FR
4971;210.300000;9.600000;Colissimo Dom-Tom / International;1;Rotenburg;DE
4971;210.300000;9.600000;Colissimo Dom-Tom / International;1;Rotenburg;DE
4971;210.300000;9.600000;Colissimo Dom-Tom / International;1;Rotenburg;DE
4972;24.420000;4.920000;Mondial Relay;8;Nantes;FR
4973;24.420000;4.920000;Mondial Relay;8;Bordeaux;FR
4974;91.580000;9.600000;Colissimo Dom-Tom / International;3;Gilly ( Charleroi );BE
4974;91.580000;9.600000;Colissimo Dom-Tom / International;3;Gilly ( Charleroi );BE
4975;101.940000;5.640000;Mondial Relay;8;MAUGUIO;FR
4975;101.940000;5.640000;Mondial Relay;8;MAUGUIO;FR
4976;340.760000;13.260000;Colissimo;8;Vandoeuvre;FR
4976;340.760000;13.260000;Colissimo;8;Vandoeuvre;FR
4976;340.760000;13.260000;Colissimo;8;Vandoeuvre;FR
4976;340.760000;13.260000;Colissimo;8;Vandoeuvre;FR
4976;340.760000;13.260000;Colissimo;8;Vandoeuvre;FR
4976;340.760000;13.260000;Colissimo;8;Vandoeuvre;FR
